to fall in love
enamorarse
to bow
inclinarse
a tray
una bandeja
love
amor
I am going
Estoy yendo.
You are going
Estás yendo.
He is going
Él está yendo.
She is going
Ella está yendo.
We are going
Estamos yendo.
You are going (plural)
Ustedes van.
They are going
Ellos están yendo.
I eat
Yo como
You eat
Tú comes.
He eats
Él come.
She eats
Ella come.
We eat
Comemos.
You eat (plural)
Ustedes comen.
They eat
Ellos comen.
I drink
Bebo.
You drink
Bebes.
He drinks
Él bebe.
She drinks
Ella bebe.
We drink
Nosotros bebemos.
You drink (plural)
Ustedes beben.
They drink
Ellos beben.
I read
Leí.
You read
Lees.
He reads
Él lee.
She reads
Ella lee.
We read
Leemos
You read (plural)
Ustedes leen.
They read
Ellos leen.
I ride
Yo monto.
You ride
Tú montas.
He rides
Él monta.
She rides
Ella monta.
We ride
Montamos.
You ride (plural)
Ustedes montan.
They ride
Ellos montan.
I work
Yo trabajo.
You work
Trabajas.
He works
Él trabaja.
She works
Ella trabaja.
We work
Trabajamos.
You work (plural)
Ustedes trabajan.
They work
Ellos trabajan.
I speak
Yo hablo.
You speak
Hablas.
He speaks
Él habla.
She speaks
Ella habla.
We speak
Hablamos
You speak (plural)
Ustedes hablan
They speak
Ellos hablan.
I am going
Voy a ir.
We are going
Vamos.
I eat
Yo como.
We eat
Comemos
You drink
Tú bebes.
You read
Tú lees.
They read
Ellos leen
I work
Trabajo.
You work
Tú trabajas
You are going
Vas a ir
They are going
Ellos van.
You read
Tú lees
We ride
Nosotros montamos.
I speak
Hablo.
We speak
Hablamos.
